Case Number,Month,Day,Year,Country,Region,Attack Location,Provoked (Y/N),Injury Description,Fatal (Y/N),Victim_Gender,Activity,Investigator or Source
1996.05.18,May,18,1996,usa,florida,south of ponce inlet,Unprovoked,Right foot & ankle bitten,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel; Daytona Beach News Journal, 5/19/1996, p.1A "
1996.05.10,May,10,1996,south korea,,,Unprovoked,FATAL,y,m,Shell Diving,Y. Choi & K. Nakaya
1996.04.25.b,Apr,25,1996,australia,new south wales,mona vale,Unprovoked,Puncture wounds on upper left thigh ,n,m,Swimming,"Daily Telegraph, 4/26/1996, p.9"
1996.04.25.a,Apr,25,1996,australia,new south wales,mona vale,Unprovoked,Puncture wounds on leg ,n,f,Swimming,"Daily Telegraph, 4/26/1996, p.9"
1996.02.26,Feb,26,1996,australia,new south wales,"charles street wharf, parramatta river",Unprovoked,Left leg & right testicle bitten,n,m,Dived naked into the water on a bet,"Daily Telegraph, 2/29/1996, p.5; H. Edwards, pp.31-32"
1996.02.19.R,Feb,19,1996,usa,missouri,st. louis,Provoked,5 punctures to hand from captive shark PROVOKED INCIDENT,n,f,Swimming in fish tank,"Deseret News, 2/19/1996; European Stars and Stripes, 2/20/1996"
1996.01.23,Jan,23,1996,usa,florida,florida keys,Provoked,Shark bit his leg after he grabbed its tail & wouldn't let go PROVOKED INCIDENT,n,m,Wading,"Miami Herald, 1/25/1996"
1996.01.22,Jan,22,1996,australia,queensland,"brown's inlet, broadwater",Unprovoked,Lacerations to left calf,n,f,Swimming,"Daily Telegraph, 1/23/1996, p.3"
1996.01.16,Jan,16,1996,usa,hawaii,"kaelekii point, maui",Unprovoked,Lacerations to left foot & right shin,n,m,Swimming with mask & snorkel,"G. Ambrose, pp.48-53"
1996.01.10,Jan,10,1996,reunion,saint-paul,embouchure de l'étang de saint paul,Unprovoked,FATAL,y,m,Surfing,"Clicanoo, le journal  de l'Ile de la Réunion"
1995.11.29,Nov,11,1995,new zealand,"chatham islands, east of new  zealand",,Unprovoked,Leg & chest lacerated,n,m,"Diving, gathering shellfish","R.D. Weeks, GSAF"
1995.11.25.a,Nov,25,1995,northern arabian sea,,,Unprovoked,"Minor injuries, bites on fingers & toes. Rescued by Pakistani fishermen",n,m,Fell off aircraft carrier,CNN
1995.11.17,Nov,17,1995,australia,queensland,great keppel island,Unprovoked,Survived,n,m,,"A. Brenneka, sharkattacksurvivors.com"
1995.10.28.R,Oct,28,1995,usa,florida,,Unprovoked,Lacerations to right foot,n,m,Boogie boarding,"Flagler/Palm Coast News Tribune, 10/28/1995"
1995.10.21,Oct,21,1995,usa,florida,north beach,Unprovoked,Foot bitten,n,m,Surfing,"I. Nordemar, Fort Pierce Tribune, 10/25/1995"
1995.10.11,Oct,11,1995,australia,queensland,"pialba, hervey bay",Unprovoked,Laceration to thigh,n,f,Playing / standing,"Herald Sun, 10/12/1995, p.9"
1995.09.30.b,Sep,30,1995,usa,florida,crescent beach,Unprovoked,4 punctures in left foot,n,m,Surfing,"St. Petersburg Times, 10/3/1995"
1995.09.30.a,Sep,30,1995,usa,florida,north beach,Unprovoked,Leg & ankle bitten,n,m,Surfing,"The Palm Beach Post, 10/1/1995"
1995.09.28,Sep,28,1995,usa,california,davenport landing,Unprovoked,"Right foot bruised, board bitten",n,m,Windsurfing,"R. Collier, pp.153-154"
1995.09.19.,Sep,19,1995,usa,florida,matanzas bay inlet,Unprovoked,Left arm & hand lacerated,n,m,Surfing,"Orlando Sentinel, 9/20/1995, p.C.3"
1995.09.17,Sep,17,1995,usa,florida,daytona beach,Unprovoked,Left elbow and bicep bitten,n,f,Swimming,"S. Petersohn, GSAF; Orlando Sentinel, 9/18/1995, p.C.3"
1995.09.16,Sep,16,1995,reunion,saint-denis,,Unprovoked,FATAL,y,m,Body-boarding,"LeQuotidien, 12/4/1999"
1995.09.13,Sep,13,1995,usa,florida,alligator reef,Unprovoked,"Presumed FATAL, body not recovered",y,m,Scuba diving,"G. Hubbell; J. Castro; Ocala Star-Banner, 9/22/1995; Orlando Sentinel, 9/23/1995, p.D1
"
1995.09.11,Sep,11,1995,australia,western australia,"honeymoon island, near hopetown",Unprovoked,"FATAL, head, shoulder and arm severed, remains recovered at Munglinup Beach on 9/13/1995",y,m,Abalone diving using Hookah (near calving whales),"The Advertiser, 9/13/1995, p.2; H. Edwards, pp.1-8"
